File_Name,Operator,Service_Code,Line_Name,Departure_Time,Distance,Run_Time,Number_of_Stops
1046-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_21_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:21,46,07:35:00,437,PT0M0S,264
1050-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_22_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:22,50,07:00:00,437,PT0M0S,109
1051-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_23_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:23,51,07:15:00,721,PT0M0S,3854
1052-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_24_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:24,52,08:25:00,399,PT0M0S,3488
1054-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_85_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:85,54,06:00:00,346,PT0M0S,1240
1055-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_25_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:25,55,07:00:00,157,PT0M0S,1073
1056-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_26_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:26,56,07:05:00,549,PT0M0S,1648
1060-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_27_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:27,60,05:45:00,385,PT0M0S,1211
1061-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_28_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:28,61,09:38:00,316,PT0M0S,255
1062-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_29_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:29,62,09:00:00,308,PT0M0S,469
1063-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_30_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:30,63,07:05:00,497,PT0M0S,729
1069-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_67_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:67,69,05:05:00,285,PT0M0S,718
1092-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_86_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:86,91,07:07:00,568,PT0M0S,1126
1422-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_70_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:70,422,07:40:00,995,PT0M0S,271
1500-None--SCSO-Chichester-2026-07-13-CR_260713r__SCSO_PK0002571_105_20260713-BODS_V1_1.xml,Stagecoach South,PK0002571:105,500,07:05:00,727,PT0M0S,2895
